,,,,,,,,1Â÷ sample,2Â÷ sample,,
,,,,,,,,train,test,,
,X,mode,pressure,rpm,orifice,,rf,0.406334164,0.873032787,,
,Y,suction,,,,,xgb,0.220291515,1.028412073,,
,,mae,,,,,lgb,0.623144764,1.658840015,,
,,,,,,,stacking,0.313084637,1.100063309,,
,,,,,,,,,,,
,Y,level3,,,,,rf,1,0.827868852,,
,,accuracy_score,,,,,xgb,0.978647687,0.819672131,,
,,,,,,,lgb,1,0.819672131,,
,,,,,,,stacking,0.996441281,0.827868852,,
,,,,,,,,,,,
,,,,,,,,,,,
,X,mode,pressure,rpm,orifice,,rf,0.960322183,2.446217486,,
,Y,suction,,,,,xgb,0.184223739,2.227306582,,
,,mae,,,,,lgb,1.561190025,3.504567825,,
,,,,,,,stacking,0.613123945,2.415851719,,
,,,,,,,,,,,
,Y,level3,,,,,rf,1,0.795081967,,
,,accuracy_score,,,,,xgb,1,0.803278689,,
,,,,,,,lgb,1,0.81147541,,
,,,,,,,stacking,1,0.836065574,,
